Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
BA;Brasil;Nordeste;BA;;23763;15 a 17 anos;6002;Feminino;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;50431;15 a 17 anos;6002;Masculino;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;24660;18 a 19 anos;6003;Feminino;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;39083;18 a 19 anos;6003;Masculino;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;31981;20 a 24 anos;6004;Feminino;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;37787;20 a 24 anos;6004;Masculino;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;17899;25 a 29 anos;6005;Feminino;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;13252;25 a 29 anos;6005;Masculino;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;17638;30 a 34 anos;6006;Feminino;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;10509;30 a 34 anos;6006;Masculino;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;16592;35 a 39 anos;6007;Feminino;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;9414;35 a 39 anos;6007;Masculino;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;45726;40 anos ou mais;6008;Feminino;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;26064;40 anos ou mais;6008;Masculino;1;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;1898;Até 14 anos;6001;Feminino;2;Educação Básica;Educação de Jovens e Adultos - EJA
BA;Brasil;Nordeste;BA;;3702;Até 14 anos;6001;Masculino;1;Educação Básica;Educação de Jovens e Adultos - EJA
